,SerialNumberContract,Qty,ContractNumber,SerialNumber,is_serialnum
11,"Time:
11PM

Scope:
To perform PM on (1) STS
QTY- 1 STS/PDU PRIMARY SYSTEM - SERIAL# 440-0036

Site Address:
BB&T
2501 Wooten Blvd
Wilson, NC 27893

Site Contact:
Danny M. Vick
252-230-3893
252-246-2731",0,50046000000rCO8AAM,"Time: 11PM Scope: To perform PM on (1) STS QTY- 1 STS/PDU PRIMARY SYSTEM - SERIAL# 440-0036 Site Address: BB&T 2501 Wooten Blvd Wilson, NC 27893 Site Contact: Danny M. Vick 252-230-3893 252-246-2731 ",True
12,"2 STS  in the same Modbus chain stopped communicating with BMS, might  need to reset Modbus ports. Requesting a tech on-site.


site
Dell
1404 Park Center Drive
Austin, TX 78753",0,50046000000rCNgAAM,"2 STS in the same Modbus chain stopped communicating with BMS, might need to reset Modbus ports. Requesting a tech on-site. site Dell 1404 Park Center Drive Austin, TX 78753 ",True
13,"Service tech to visit customer sites and survey units that require SNMP upgrade

Location: Mountain View, CA and Santa Clara, CA",0,50046000000rCLeAAM,"Service tech to visit customer sites and survey units that require SNMP upgrade Location: Mountain View, CA and Santa Clara, CA ",True
14,"Scope:
To inspect an issue on an older PDU that tripped the breaker; The main breaker tripped with a ground fault indication. When our electrician arrived he did an internal visual inspection and found no apparent problems. The trip settings were noted to be at the most sensitive and instantaneous set points. There were no other equipment issues noted in the building prior to the trip. The breaker was reset and shut with no follow on problems; 10-1938",0,50046000000rCKkAAM,Scope: To inspect an issue on an older PDU that tripped the breaker; The main breaker tripped with a ground fault indication. When our electrician arrived he did an internal visual inspection and found no apparent problems. The trip settings were noted to be at the most sensitive and instantaneous set points. There were no other equipment issues noted in the building prior to the trip. The breaker was reset and shut with no follow on problems; 10-1938 ,True
15,"(1) Technician to Travel to and
from site location to Inspect
PDU for XMR defect.
PDU 110-2598-1-4",0,50046000000rC4sAAE,(1) Technician to Travel to and from site location to Inspect PDU for XMR defect. PDU 110-2598-1-4 ,True
16,WS PDU has comm 1 error alarm; has been present since 2015,0,50046000000rC4lAAE,WS PDU has comm 1 error alarm; has been present since 2015 ,True
17,"- Calibrate QTY (1) PDU
- PDU alarm says calibration is needed
- SN:110-1957",0,50046000000rC63AAE,- Calibrate QTY (1) PDU - PDU alarm says calibration is needed - SN:110-1957 ,True
18,"Pulse driver boards are overheating

site
GPX
Mumbai, India",0,50046000000rCFXAA2,"Pulse driver boards are overheating site GPX Mumbai, India ",True
19,"need to replace non functioning boards

site
Reliance
Jamnagar",0,50046000000rCFlAAM,need to replace non functioning boards site Reliance Jamnagar ,True
20,STS Monitor Has Horizontal lines . Needs to be replaced. PCB08845F,0,50046000000rCHFAA2,STS Monitor Has Horizontal lines . Needs to be replaced. PCB08845F ,True
21,"To obtain the EC European certification for our product Busway.
Within the existing manuals the certification relates to American standards only.
Please provide the European certification EC results?",0,50046000000rCHBAA2,To obtain the EC European certification for our product Busway. Within the existing manuals the certification relates to American standards only. Please provide the European certification EC results? ,True
22,"Current reading are incorrect. They would like  to have a tech to calibrate PDU

Site address 
National Science Foundation
4201 Wilson blvd Arlington VA 22230",0,50046000000rCHQAA2,Current reading are incorrect. They would like to have a tech to calibrate PDU Site address National Science Foundation 4201 Wilson blvd Arlington VA 22230 ,True
23,"PDU is getting High  Line Frequency Alarm. 
They getting the alarm when they run generator test. They would like to have quote to investigate alarm. 
DCM Board will needed.

Site address
Harrisburg PA",0,50046000000rCHPAA2,PDU is getting High Line Frequency Alarm. They getting the alarm when they run generator test. They would like to have quote to investigate alarm. DCM Board will needed. Site address Harrisburg PA ,True
24,"issue: Spoke with customer and one switch has red led's on the output and on the other monitor positions such as transformer temp.  Customer is not sure if he has output but no alarms on equipment downstream. Monitor IO board may need to be reset.


site
CenturyLink (Qwest)
1201 Farnam, 5th floor
Omaha NE  68102",0,50046000000rCICAA2,"issue: Spoke with customer and one switch has red led's on the output and on the other monitor positions such as transformer temp. Customer is not sure if he has output but no alarms on equipment downstream. Monitor IO board may need to be reset. site CenturyLink (Qwest) 1201 Farnam, 5th floor Omaha NE 68102 ",True
25,"PM on 2 PDUs Serial number 110-1907-1-2 

Site: 
401 Elliott Avenue West 
Seattle, WA 98119 

Contact: 
Kiel Anderson 
206-200-7417",0,50046000000rC9oAAE,"PM on 2 PDUs Serial number 110-1907-1-2 Site: 401 Elliott Avenue West Seattle, WA 98119 Contact: Kiel Anderson 206-200-7417 ",True
26,"Time:
8PM

Scope: 
To inspect and repair (2) STSs; 420-0057; STS 3 and STS 4 units
STS 3 has an issue were it will not transfer from Source 1 to Source 2 (No alarms) after selecting source. Sometimes it will attempt to transfer but it will stay latched on the other source.
STS 4 ñ The source selector switch assembly keeps turning when you try to select a source.

Parts shipped to site for your use

Site address:
HP
1855 MINNESOTA DR
MISSISSAUGA, ON

Contact:
IAN MAULE
647-448-4955",0,50046000000rCAwAAM,"Time: 8PM Scope: To inspect and repair (2) STSs; 420-0057; STS 3 and STS 4 units STS 3 has an issue were it will not transfer from Source 1 to Source 2 (No alarms) after selecting source. Sometimes it will attempt to transfer but it will stay latched on the other source. STS 4 ñ The source selector switch assembly keeps turning when you try to select a source. Parts shipped to site for your use Site address: HP 1855 MINNESOTA DR MISSISSAUGA, ON Contact: IAN MAULE 647-448-4955 ",True
27,"Time:
8PM

Scope:
They are experiencing comms losses to the BMS in our new data hall on 1 end feed and 2 TOBs
There is a high current issue on the box as well as an end feed that will not communicate with the accumulator application when I try to access it on our computer via USB.

Site Address: 
Fidelity
7133 Louis Stephens Drive 
Morrisville, NC 27560 

Site Contact: 
Tim Frank 
919-619-9993",0,50046000000rC6WAAU,"Time: 8PM Scope: They are experiencing comms losses to the BMS in our new data hall on 1 end feed and 2 TOBs There is a high current issue on the box as well as an end feed that will not communicate with the accumulator application when I try to access it on our computer via USB. Site Address: Fidelity 7133 Louis Stephens Drive Morrisville, NC 27560 Site Contact: Tim Frank 919-619-9993 ",True
28,SAS TX 2 down alarm,0,50046000000rCB6AAM,SAS TX 2 down alarm ,True
29,"Customer Number: 002033
Shipping Number: 042155

London Demo Elstree office.  
Found short supplies as per details below.

1. Communication Cable - 
Description is 18 feet, we received less than 2 feet 2.
 2, 8 x 3/8"" rods, we have not received any rods.
3, Retrofit BCMS Busway. New door with hinges. No additional extended screw to closed-door.
When sending out a new door in place of an Endfeeder. Removing the eight screws requires an additional extended screw to allow the retrofit door to be securely fastened.
Not supplied with the kit.


Check why the mistake occurs (happens too often in almost every shipment internal and external) and please send the short supplies to us ASAP.",0,50046000000rC6BAAU,"Customer Number: 002033 Shipping Number: 042155 London Demo Elstree office. Found short supplies as per details below. 1. Communication Cable - Description is 18 feet, we received less than 2 feet 2. 2, 8 x 3/8"" rods, we have not received any rods. 3, Retrofit BCMS Busway. New door with hinges. No additional extended screw to closed-door. When sending out a new door in place of an Endfeeder. Removing the eight screws requires an additional extended screw to allow the retrofit door to be securely fastened. Not supplied with the kit. Check why the mistake occurs (happens too often in almost every shipment internal and external) and please send the short supplies to us ASAP. ",True
30,"Scope:
To inspect (2) M2 PDUs; 10-1938-1-2; to check out two (2) PDI PDU units with M2 monitor for Ground Fault; One of the units has a Loss of Phase and Ground Fault indicated. The ground fault has been long-standing but the phase loss came in last weekend when the building took a brief power loss. I had an electrician verify all 3 phases had power.",0,50046000000rCHmAAM,Scope: To inspect (2) M2 PDUs; 10-1938-1-2; to check out two (2) PDI PDU units with M2 monitor for Ground Fault; One of the units has a Loss of Phase and Ground Fault indicated. The ground fault has been long-standing but the phase loss came in last weekend when the building took a brief power loss. I had an electrician verify all 3 phases had power. ,True
31,"Time:
10AM-1AM; Need two techs to support window
Joe Kresse - 10AM-5:30PM
Obin Bou - 5:30PM-1AM

Site Address:
90 Ivy Brook Rd
Shelton, CT 06484

Site Contact:
Mark Charette
Office: 203-751-8140
Cell: 203-450-0075

Scope:
To perform stand by and PM on (12/24) PDUs over two weekends; Parts on site as needed to make any repairs",0,50046000000rC4OAAU,"Time: 10AM-1AM; Need two techs to support window Joe Kresse - 10AM-5:30PM Obin Bou - 5:30PM-1AM Site Address: 90 Ivy Brook Rd Shelton, CT 06484 Site Contact: Mark Charette Office: 203-751-8140 Cell: 203-450-0075 Scope: To perform stand by and PM on (12/24) PDUs over two weekends; Parts on site as needed to make any repairs ",True
32,"Scope:
Wavestar Color Touch Screen Upgrade:
QTY (1) PCA16209 (Color Screen)
QTY(1) PCB11555 (Wavestar Data Acquisition Card)
**Includes all wires, sheet metal, and material required to complete upgrade**
SN:110-2532
SO23899",0,50046000000rC40AAE,"Scope: Wavestar Color Touch Screen Upgrade: QTY (1) PCA16209 (Color Screen) QTY(1) PCB11555 (Wavestar Data Acquisition Card) **Includes all wires, sheet metal, and material required to complete upgrade** SN:110-2532 SO23899 ",True
33,a PDU unit that we just started up that the display is no longer working; 110-4161,0,50046000000rC53AAE,a PDU unit that we just started up that the display is no longer working; 110-4161 ,True
34,"Start up of (2) STS, serial # 411-0293-1-2

site
Aligned Data Center
2800 Summit Avenue
Plano, TX  75074",0,50046000000rC6QAAU,"Start up of (2) STS, serial # 411-0293-1-2 site Aligned Data Center 2800 Summit Avenue Plano, TX 75074 ",True
35,"4 x additional comms cables required for recent order of 4 x TOB's 
to be shipped with SO23930 which is due for delivery on 18th Jan 2016",0,50046000000rC0SAAU,4 x additional comms cables required for recent order of 4 x TOB's to be shipped with SO23930 which is due for delivery on 18th Jan 2016 ,True
36,To repair EPO on PDU; unit did not shunt trip when EPO was pressed,0,50046000000rC0RAAU,To repair EPO on PDU; unit did not shunt trip when EPO was pressed ,True
37,Customer is having issues with getting all information / alarms from the static switch thru Modbus TCP/IP. Customer can see the information but missing some information . Monitor was reset.,0,50046000000rC0IAAU,Customer is having issues with getting all information / alarms from the static switch thru Modbus TCP/IP. Customer can see the information but missing some information . Monitor was reset. ,True
38,"Scope: 
To inspect High Voltage alarms Phase alarms and digital alarms. Monitor was replaced recently. 

Site Address:
Scana 
1413 Bluff Road 
MC M33 
Columbia, SC 29201 

Site Contact: 
Gary Clevenger 
803-603-6095",0,50046000000rCBvAAM,"Scope: To inspect High Voltage alarms Phase alarms and digital alarms. Monitor was replaced recently. Site Address: Scana 1413 Bluff Road MC M33 Columbia, SC 29201 Site Contact: Gary Clevenger 803-603-6095 ",True
39,"Front Subfeed upgrade Without Subfeed Monitoring

Product Description
Upgrade 110Å-2602; SO12071

Description: Each Kit Includes:
- (1) Component Mounting Pan
(PNL08800)
- (8) SQD JGL36250CU31X
- (CKB15430T)
- NETA testing of all (8) breakers
- 2/0 Power Wiring
- Solid Cable landing tray
(PNL09205)
Production notes:
All Breakers to be mounted to component
mounting pan prior to shipment. Include
mounting hardware for installing in field.",0,50046000000rCGtAAM,Front Subfeed upgrade Without Subfeed Monitoring Product Description Upgrade 110Å-2602; SO12071 Description: Each Kit Includes: - (1) Component Mounting Pan (PNL08800) - (8) SQD JGL36250CU31X - (CKB15430T) - NETA testing of all (8) breakers - 2/0 Power Wiring - Solid Cable landing tray (PNL09205) Production notes: All Breakers to be mounted to component mounting pan prior to shipment. Include mounting hardware for installing in field. ,True
40,"CT's for the 4 end feeds were missing.  sending replacement.

site
Dell
Plano, TX",0,50046000001Fg5hAAC,"CT's for the 4 end feeds were missing. sending replacement. site Dell Plano, TX ",True
41,Breakers not set during production nor SU.,0,50046000006XJIKAA4,Breakers not set during production nor SU. ,True
42,"Infinity RPP software upgrade
8 units

site
IBM Cloud
CyrusOne 
1649 W Frankford Rd
Carrollton, TX  75007",0,50046000008JioMAAS,"Infinity RPP software upgrade 8 units site IBM Cloud CyrusOne 1649 W Frankford Rd Carrollton, TX 75007 ",True
43,"Infinity RPP software upgrade
8 units

site
IBM Cloud
Digital Realty
907 Security Row 
Richardson, tX",0,50046000008JioCAAS,"Infinity RPP software upgrade 8 units site IBM Cloud Digital Realty 907 Security Row Richardson, tX ",True
44,"We have a PDU monitor that is showing incorrect values after we performed a shutdown of the PDU Unit so we could repair the STS that provides power to the PDU.

4/9/18 - R. Kong - Site Issue/comments
Dallas chip was removed from spare DCM board from Inventory. 3 Dallas chips will need to be ordered for replacement on 2 DCM boards and 1 as spare.",0,5004600000685veAAA,We have a PDU monitor that is showing incorrect values after we performed a shutdown of the PDU Unit so we could repair the STS that provides power to the PDU. 4/9/18 - R. Kong - Site Issue/comments Dallas chip was removed from spare DCM board from Inventory. 3 Dallas chips will need to be ordered for replacement on 2 DCM boards and 1 as spare. ,True
45,"Unit giving SAS 1, SAS 2 and SAS 3 source 1 alarms intermittingly. Seems to be a SAS board issue. Issue Started Friday Evening 9/22/17. Site ok to wait until Monday.",0,50046000004N2nVAAS,"Unit giving SAS 1, SAS 2 and SAS 3 source 1 alarms intermittingly. Seems to be a SAS board issue. Issue Started Friday Evening 9/22/17. Site ok to wait until Monday. ",True
46,"Install M4 PDU to WaveStar Color PDU Monitoring Upgrade under SO# 29183.
Site location/address shipping information to be provided week of 5/14.",0,50046000006XXg4AAG,Install M4 PDU to WaveStar Color PDU Monitoring Upgrade under SO# 29183. Site location/address shipping information to be provided week of 5/14. ,True
47,troubleshooted the switch last night and did not find any particular issue with the equipment. It did not perform perfectly through the reset and restore process. After a calibration and a full reset of the breakers we did get the switch to operate as normal. I performed several transfers without issue. The customer decided to leave the switch in bypass on their preferred source (Source 2). Speaking with Costas the next step would be to potentially change some boards and go from there. One of the theories is that something downstream could have caused an issue as well but we do not have any evidence of that. State street is going to test all branch circuits before restoring power to their equipment as a precaution to prevent further issues,0,50046000007EBVQAA4,troubleshooted the switch last night and did not find any particular issue with the equipment. It did not perform perfectly through the reset and restore process. After a calibration and a full reset of the breakers we did get the switch to operate as normal. I performed several transfers without issue. The customer decided to leave the switch in bypass on their preferred source (Source 2). Speaking with Costas the next step would be to potentially change some boards and go from there. One of the theories is that something downstream could have caused an issue as well but we do not have any evidence of that. State street is going to test all branch circuits before restoring power to their equipment as a precaution to prevent further issues ,True
48,We have an ASTS that is currently going in and out of alarm.  The alarm is ìDigital Alarm SAS Tx 3 Downî.,0,50046000008KcqrAAC,We have an ASTS that is currently going in and out of alarm. The alarm is ìDigital Alarm SAS Tx 3 Downî. ,True
49,Unit 110-1807-5 has a line to neutral issue voltage showing 0V when it should be 120V,0,50046000003o0rQAAQ,Unit 110-1807-5 has a line to neutral issue voltage showing 0V when it should be 120V ,True
50,RPPs (RPP-1A-4-1) S# 180-2547-3 we started up last year is missing a BCMS CT strip (PCB08706B).,0,50046000003oXRmAAM,RPPs (RPP-1A-4-1) S# 180-2547-3 we started up last year is missing a BCMS CT strip (PCB08706B). ,True
51,"Customer called Emergency support 5/13/18...
Phase alarm - 

alarms since clear:
isolation 1 CB open
isolation 2 CB open
bypass SW1 Alarm",0,50046000006XdgqAAC,Customer called Emergency support 5/13/18... Phase alarm - alarms since clear: isolation 1 CB open isolation 2 CB open bypass SW1 Alarm ,True
52,We have RPPs that need the breaker settings updated. I have included a picture of the ID tag of one of the RPPs. The work will require plugging in to 12 different panels (6 front and back) to change the breaker set-points. Will you please quote us what this work will cost?,0,50046000003oyKaAAI,We have RPPs that need the breaker settings updated. I have included a picture of the ID tag of one of the RPPs. The work will require plugging in to 12 different panels (6 front and back) to change the breaker set-points. Will you please quote us what this work will cost? ,True
53,"Provide stand-by and monitoring services of PDU's during Georgia Power removal of utilities from building.

Equipment to be monitored onsite : 

a.	Generators ( Prime Power) 
b.	ATS (Russelectric) 
c.	UPS units Mitsubishi (Unified) & Vertiv. 
d.	PDU units PDI & Vertiv. 
e.	Chiller Plant ( Siemens).",0,50046000003oQXMAA2,Provide stand-by and monitoring services of PDU's during Georgia Power removal of utilities from building. Equipment to be monitored onsite : a.	Generators ( Prime Power) b.	ATS (Russelectric) c.	UPS units Mitsubishi (Unified) & Vertiv. d.	PDU units PDI & Vertiv. e.	Chiller Plant ( Siemens). ,True
54,Installation and troubleshooting of communications issue within RPP 180-1854-6,0,50046000003nCXQAA2,Installation and troubleshooting of communications issue within RPP 180-1854-6 ,True
55,We are having an ongoing issue with PDU-1AB1 with it getting high amperage readings on the C phase of the B side of the PDU. We verified through our critical distribution switchgear that the reading is false. I am not sure if we need it to be calibrated or need to replace a component.,0,50046000003ng7OAAQ,We are having an ongoing issue with PDU-1AB1 with it getting high amperage readings on the C phase of the B side of the PDU. We verified through our critical distribution switchgear that the reading is false. I am not sure if we need it to be calibrated or need to replace a component. ,True
56,"Breakers in RPP's were sent w/o NETA testing. 
Breakers were sent back to RIC for NETA testing. Wrong parts were sent back to customer.",0,50046000006X6rhAAC,Breakers in RPP's were sent w/o NETA testing. Breakers were sent back to RIC for NETA testing. Wrong parts were sent back to customer. ,True
57,"I received dead fronts Monday evening. I noted possible damage on BOL as pallets came stacked even though labels said do not stack.  We just started to inspect this morning and indeed damage to both top and bottom pallets.

We did try to fit one onto a PDU and noticed they do not fit right. There is a Large gap at bottom and about 1/2î space from breaker all around. The breaker settings are also in accessible. 


Damage and probable scratches being no protection between stacking layers.

 Pictures from customer attached in noted",0,50046000005Oos5AAC,I received dead fronts Monday evening. I noted possible damage on BOL as pallets came stacked even though labels said do not stack. We just started to inspect this morning and indeed damage to both top and bottom pallets. We did try to fit one onto a PDU and noticed they do not fit right. There is a Large gap at bottom and about 1/2î space from breaker all around. The breaker settings are also in accessible. Damage and probable scratches being no protection between stacking layers. Pictures from customer attached in noted ,True
58,"SAS Tx2 down alarm
411-0169

site
GPX
Cairo, Egypt",0,50046000004OKHgAAO,"SAS Tx2 down alarm 411-0169 site GPX Cairo, Egypt ",True
59,Two days end user training at PDI in Richmond,0,50046000004NMr8AAG,Two days end user training at PDI in Richmond ,True
60,"transfer issues on STS  442-0197 

site
Schneider Mexico",0,50046000004NNMGAA4,transfer issues on STS 442-0197 site Schneider Mexico ,True
61,"URBACON is looking to change all breakers to have 400AT, and I believe the initial understanding was that all breaker wiring was to be set to accommodate 400AT too. 

From Ajith: 
Urbacon is GEís customer and Microsoft is the end user. Customer is changing the 250A trip plug from 400A trip plugs for all three CBs in all PDUs. This means 3X 5ft long 3/O wire needs to be added to each breaker. ABB and the contractor will buy the breaker and CTs for the modification. What they need from us is 72X 5ft long 3/O wires and associated lugs/hardware. I have listed below the materials given by engineering. GE/ABB also requesting PDI to send a service tech to do this wiring on one unit and ABB/contractor will complete the remaining 23 units on their own. They are doing this to expedite the work as PDU work is the only remaining item.",0,5004600000959u0AAA,"URBACON is looking to change all breakers to have 400AT, and I believe the initial understanding was that all breaker wiring was to be set to accommodate 400AT too. From Ajith: Urbacon is GEís customer and Microsoft is the end user. Customer is changing the 250A trip plug from 400A trip plugs for all three CBs in all PDUs. This means 3X 5ft long 3/O wire needs to be added to each breaker. ABB and the contractor will buy the breaker and CTs for the modification. What they need from us is 72X 5ft long 3/O wires and associated lugs/hardware. I have listed below the materials given by engineering. GE/ABB also requesting PDI to send a service tech to do this wiring on one unit and ABB/contractor will complete the remaining 23 units on their own. They are doing this to expedite the work as PDU work is the only remaining item. ",True
62,Ribbon cables incorrectly routed in the unit.  testbay also incorrectly set BCMS to use Longstrip command to view data,0,50046000005lu1gAAA,Ribbon cables incorrectly routed in the unit. testbay also incorrectly set BCMS to use Longstrip command to view data ,True
63,The input PM lost communications,0,50046000005lPgvAAE,The input PM lost communications ,True
