,Id,Customer_Issue_Summary__c,Customer_Issue__c,Resolution_Summary__c,Resolution__c,component,type,Status,ClosedDate,SerialNumber,SerialNumberContract,Qty,src,flag_validinstall
13,50046000006XYOLAA4,"troubleshoot PDU 110-4064-8 and replace display as needed 

site 
Digital Realty 
950 E Collins 
Richardson, TX 

contact 
Daniel Mulder 
972-740-5745",PCBA - Hardware Issue,"On arrival the Display was working good.  Customer still wanted Display replaced. Disconnected shunt trip, replaced Display, reconnected shunt trip.  Set modbus address, baud rate, Date and Time.",Site Visit,Display,replace,Closed,5/21/2018 18:21,110-4064-8,110-4064-8,1.0,Product_1__c,True
14,50046000006XYOLAA4,"troubleshoot PDU 110-4064-8 and replace display as needed 

site 
Digital Realty 
950 E Collins 
Richardson, TX 

contact 
Daniel Mulder 
972-740-5745",PCBA - Hardware Issue,"On arrival the Display was working good.  Customer still wanted Display replaced. Disconnected shunt trip, replaced Display, reconnected shunt trip.  Set modbus address, baud rate, Date and Time.",Site Visit,Display,replace,Closed,5/21/2018 18:21,nan,,0.0,Product_2__c,True
15,50046000006XYOLAA4,"troubleshoot PDU 110-4064-8 and replace display as needed 

site 
Digital Realty 
950 E Collins 
Richardson, TX 

contact 
Daniel Mulder 
972-740-5745",PCBA - Hardware Issue,"On arrival the Display was working good.  Customer still wanted Display replaced. Disconnected shunt trip, replaced Display, reconnected shunt trip.  Set modbus address, baud rate, Date and Time.",Site Visit,Display,replace,Closed,5/21/2018 18:21,nan,,0.0,Product_3__c,True
16,50046000006XYOLAA4,"troubleshoot PDU 110-4064-8 and replace display as needed 

site 
Digital Realty 
950 E Collins 
Richardson, TX 

contact 
Daniel Mulder 
972-740-5745",PCBA - Hardware Issue,"On arrival the Display was working good.  Customer still wanted Display replaced. Disconnected shunt trip, replaced Display, reconnected shunt trip.  Set modbus address, baud rate, Date and Time.",Site Visit,Display,replace,Closed,5/21/2018 18:21,nan,,"troubleshoot PDU 110-4064-8 and replace display as needed 

site 
Digital Realty 
950 E Collins 
Richardson, TX 

contact 
Daniel Mulder 
972-740-5745",Serial_Date_Lot_Code__c,True
17,50046000003oAtzAAE,"upgrade 5 PDUs from monochrome to the 7"" color touch display

site
Digital Gove Hill DC
8700 governor's Hill Dr
Cincinnati, OH",Installation Request,5 PDUs upgraded to color touch screen,Site Visit,Display,upgrade,Closed,4/23/2018 13:31,PDU,PDU,5.0,Product_1__c,False
18,50046000003oAtzAAE,"upgrade 5 PDUs from monochrome to the 7"" color touch display

site
Digital Gove Hill DC
8700 governor's Hill Dr
Cincinnati, OH",Installation Request,5 PDUs upgraded to color touch screen,Site Visit,Display,upgrade,Closed,4/23/2018 13:31,nan,,0.0,Product_2__c,True
19,50046000003oAtzAAE,"upgrade 5 PDUs from monochrome to the 7"" color touch display

site
Digital Gove Hill DC
8700 governor's Hill Dr
Cincinnati, OH",Installation Request,5 PDUs upgraded to color touch screen,Site Visit,Display,upgrade,Closed,4/23/2018 13:31,nan,,0.0,Product_3__c,True
20,50046000003oAtzAAE,"upgrade 5 PDUs from monochrome to the 7"" color touch display

site
Digital Gove Hill DC
8700 governor's Hill Dr
Cincinnati, OH",Installation Request,5 PDUs upgraded to color touch screen,Site Visit,Display,upgrade,Closed,4/23/2018 13:31,nan,,"upgrade 5 PDUs from monochrome to the 7"" color touch display

site
Digital Gove Hill DC
8700 governor's Hill Dr
Cincinnati, OH",Serial_Date_Lot_Code__c,True
21,5004p00000DdqNuAAJ,"Upgrade 24 PDU side cars by adding 2 225A subfeed breakers to the side car.

M4 to WS color monitor upgrade",Installation Request,upgrade completed. field reports on events.,Site Visit,Display,upgrade,Closed,10/9/2019 13:25,PDU,PDU,24.0,Product_1__c,False
22,5004p00000DdqNuAAJ,"Upgrade 24 PDU side cars by adding 2 225A subfeed breakers to the side car.

M4 to WS color monitor upgrade",Installation Request,upgrade completed. field reports on events.,Site Visit,Display,upgrade,Closed,10/9/2019 13:25,nan,,0.0,Product_2__c,True
23,5004p00000DdqNuAAJ,"Upgrade 24 PDU side cars by adding 2 225A subfeed breakers to the side car.

M4 to WS color monitor upgrade",Installation Request,upgrade completed. field reports on events.,Site Visit,Display,upgrade,Closed,10/9/2019 13:25,nan,,0.0,Product_3__c,True
24,5004p00000DdqNuAAJ,"Upgrade 24 PDU side cars by adding 2 225A subfeed breakers to the side car.

M4 to WS color monitor upgrade",Installation Request,upgrade completed. field reports on events.,Site Visit,Display,upgrade,Closed,10/9/2019 13:25,nan,,"Upgrade 24 PDU side cars by adding 2 225A subfeed breakers to the side car.

M4 to WS color monitor upgrade",Serial_Date_Lot_Code__c,True
25,50046000005Pmc8AAC,"issue from site: 


PDU-14B has been setting alarms throughout the shift. 
-	Mon 11/28/2017 07:00 PM - BSN003. RF.2. PDU-14B. Once again, the alarm for UNDER VOLT MAIN. (Pic attached) 
ï	I stopped the audible alarm at the PDU display. 
ï	I clear the alarm at the display and the alarm light shuts off. 
ï	No further alarms at PDU-14B through the shift. 

-	Tue 11/27/2017 2:28 AM - AM BCMS Alarm from PDU_14B_P3/Main/Volts_B_N 
State: Normal / Unacked 
Text: OUT OF RANGE alarm has returned to Normal. 

-	Tue 11/28/2017 2:28 AM - BCMS Alarm from PDU_14B_P3/Main/Volts_B_N 
State: Offnormal / Unacked 
Text: UNDER VOLTAGE ALARM ACTIVE! The Phase to Neutral voltage is currently at 90.40 V and is out of the acceptable range. 

-	Tues 11/28/2017 04:28 PM - BSN003. RF.2. PDU-14B. Once again, the alarm for UNDER VOLT MAIN. (Pic attached) 
ï	I stopped the audible alarm at the PDU display. 
ï	I clear the alarm at the display and the alarm light shuts off. 
ï	No further alarms at PDU-14B through the shift. 


Scope: Calibrate unit if possible, if this does not clear alarm, replace BCMS board. 

Replace BCMS board in unit 110-2836 
Software 6.xxx",PCBA,Board was replaced and setup to correct the issue.,Site Visit,Display,replace,Closed,12/21/2017 16:50,110-2836,110-2836,1.0,Product_1__c,True
26,50046000005Pmc8AAC,"issue from site: 


PDU-14B has been setting alarms throughout the shift. 
-	Mon 11/28/2017 07:00 PM - BSN003. RF.2. PDU-14B. Once again, the alarm for UNDER VOLT MAIN. (Pic attached) 
ï	I stopped the audible alarm at the PDU display. 
ï	I clear the alarm at the display and the alarm light shuts off. 
ï	No further alarms at PDU-14B through the shift. 

-	Tue 11/27/2017 2:28 AM - AM BCMS Alarm from PDU_14B_P3/Main/Volts_B_N 
State: Normal / Unacked 
Text: OUT OF RANGE alarm has returned to Normal. 

-	Tue 11/28/2017 2:28 AM - BCMS Alarm from PDU_14B_P3/Main/Volts_B_N 
State: Offnormal / Unacked 
Text: UNDER VOLTAGE ALARM ACTIVE! The Phase to Neutral voltage is currently at 90.40 V and is out of the acceptable range. 

-	Tues 11/28/2017 04:28 PM - BSN003. RF.2. PDU-14B. Once again, the alarm for UNDER VOLT MAIN. (Pic attached) 
ï	I stopped the audible alarm at the PDU display. 
ï	I clear the alarm at the display and the alarm light shuts off. 
ï	No further alarms at PDU-14B through the shift. 


Scope: Calibrate unit if possible, if this does not clear alarm, replace BCMS board. 

Replace BCMS board in unit 110-2836 
Software 6.xxx",PCBA,Board was replaced and setup to correct the issue.,Site Visit,Display,replace,Closed,12/21/2017 16:50,nan,,0.0,Product_2__c,True
27,50046000005Pmc8AAC,"issue from site: 


PDU-14B has been setting alarms throughout the shift. 
-	Mon 11/28/2017 07:00 PM - BSN003. RF.2. PDU-14B. Once again, the alarm for UNDER VOLT MAIN. (Pic attached) 
ï	I stopped the audible alarm at the PDU display. 
ï	I clear the alarm at the display and the alarm light shuts off. 
ï	No further alarms at PDU-14B through the shift. 

-	Tue 11/27/2017 2:28 AM - AM BCMS Alarm from PDU_14B_P3/Main/Volts_B_N 
State: Normal / Unacked 
Text: OUT OF RANGE alarm has returned to Normal. 

-	Tue 11/28/2017 2:28 AM - BCMS Alarm from PDU_14B_P3/Main/Volts_B_N 
State: Offnormal / Unacked 
Text: UNDER VOLTAGE ALARM ACTIVE! The Phase to Neutral voltage is currently at 90.40 V and is out of the acceptable range. 

-	Tues 11/28/2017 04:28 PM - BSN003. RF.2. PDU-14B. Once again, the alarm for UNDER VOLT MAIN. (Pic attached) 
ï	I stopped the audible alarm at the PDU display. 
ï	I clear the alarm at the display and the alarm light shuts off. 
ï	No further alarms at PDU-14B through the shift. 


Scope: Calibrate unit if possible, if this does not clear alarm, replace BCMS board. 

Replace BCMS board in unit 110-2836 
Software 6.xxx",PCBA,Board was replaced and setup to correct the issue.,Site Visit,Display,replace,Closed,12/21/2017 16:50,nan,,0.0,Product_3__c,True
28,50046000005Pmc8AAC,"issue from site: 


PDU-14B has been setting alarms throughout the shift. 
-	Mon 11/28/2017 07:00 PM - BSN003. RF.2. PDU-14B. Once again, the alarm for UNDER VOLT MAIN. (Pic attached) 
ï	I stopped the audible alarm at the PDU display. 
ï	I clear the alarm at the display and the alarm light shuts off. 
ï	No further alarms at PDU-14B through the shift. 

-	Tue 11/27/2017 2:28 AM - AM BCMS Alarm from PDU_14B_P3/Main/Volts_B_N 
State: Normal / Unacked 
Text: OUT OF RANGE alarm has returned to Normal. 

-	Tue 11/28/2017 2:28 AM - BCMS Alarm from PDU_14B_P3/Main/Volts_B_N 
State: Offnormal / Unacked 
Text: UNDER VOLTAGE ALARM ACTIVE! The Phase to Neutral voltage is currently at 90.40 V and is out of the acceptable range. 

-	Tues 11/28/2017 04:28 PM - BSN003. RF.2. PDU-14B. Once again, the alarm for UNDER VOLT MAIN. (Pic attached) 
ï	I stopped the audible alarm at the PDU display. 
ï	I clear the alarm at the display and the alarm light shuts off. 
ï	No further alarms at PDU-14B through the shift. 


Scope: Calibrate unit if possible, if this does not clear alarm, replace BCMS board. 

Replace BCMS board in unit 110-2836 
Software 6.xxx",PCBA,Board was replaced and setup to correct the issue.,Site Visit,Display,replace,Closed,12/21/2017 16:50,nan,,"issue from site: 


PDU-14B has been setting alarms throughout the shift. 
-	Mon 11/28/2017 07:00 PM - BSN003. RF.2. PDU-14B. Once again, the alarm for UNDER VOLT MAIN. (Pic attached) 
ï	I stopped the audible alarm at the PDU display. 
ï	I clear the alarm at the display and the alarm light shuts off. 
ï	No further alarms at PDU-14B through the shift. 

-	Tue 11/27/2017 2:28 AM - AM BCMS Alarm from PDU_14B_P3/Main/Volts_B_N 
State: Normal / Unacked 
Text: OUT OF RANGE alarm has returned to Normal. 

-	Tue 11/28/2017 2:28 AM - BCMS Alarm from PDU_14B_P3/Main/Volts_B_N 
State: Offnormal / Unacked 
Text: UNDER VOLTAGE ALARM ACTIVE! The Phase to Neutral voltage is currently at 90.40 V and is out of the acceptable range. 

-	Tues 11/28/2017 04:28 PM - BSN003. RF.2. PDU-14B. Once again, the alarm for UNDER VOLT MAIN. (Pic attached) 
ï	I stopped the audible alarm at the PDU display. 
ï	I clear the alarm at the display and the alarm light shuts off. 
ï	No further alarms at PDU-14B through the shift. 


Scope: Calibrate unit if possible, if this does not clear alarm, replace BCMS board. 

Replace BCMS board in unit 110-2836 
Software 6.xxx",Serial_Date_Lot_Code__c,True
29,5004600000A1uIJAAZ,"From Tommy Waugh: Once energized I did notice a few issues I could not resolve.  

First, half the units showed both Line-Line Voltage (480Vac) and Line-Neutral Voltage (277Vac) while the other half did not.  Pics attached.  These RPPís (if you can call them that) are Facebook specific and have trendpoint meters and none of our monitoring.  Speaking to Thun it seems like we should have received them already set up correctly.  I logged into the display (via touch screen) and also the meter base (using web interface with TCP/IP on laptop) and could not figure out how to reconfigure.  The site prefers that online line-Neutral be displayed on Main screen.  Also the ones that showed L-L also had setup button at the top right of screen while the ones not showing L-L did not have that setup button.  I believe this issue may be firmware related but without know much about these meters itís difficult to say.  Please advise.

Also, we have one unit with phantom currents being displayed.  I was limited on troubleshooting live gear (Facebook was right on top of me) and they would not give permission to shut it back down.  The unit was completely unloaded and I verified with clampon.  It was showing current on all three phases and the neutral (around 150A) and I believe the meter base will need to be replaced.  The wiring of the CTís looked solid and I doubt all 4 CTís could be failed.  

I have attached pics of trendpoint meter and display.",PCBA - Software Issue,Tommy Waugh,Site Visit,Display,replace,Closed,7/8/2019 17:37,RPPv2,RPPv2,4.0,Product_1__c,False
30,5004600000A1uIJAAZ,"From Tommy Waugh: Once energized I did notice a few issues I could not resolve.  

First, half the units showed both Line-Line Voltage (480Vac) and Line-Neutral Voltage (277Vac) while the other half did not.  Pics attached.  These RPPís (if you can call them that) are Facebook specific and have trendpoint meters and none of our monitoring.  Speaking to Thun it seems like we should have received them already set up correctly.  I logged into the display (via touch screen) and also the meter base (using web interface with TCP/IP on laptop) and could not figure out how to reconfigure.  The site prefers that online line-Neutral be displayed on Main screen.  Also the ones that showed L-L also had setup button at the top right of screen while the ones not showing L-L did not have that setup button.  I believe this issue may be firmware related but without know much about these meters itís difficult to say.  Please advise.

Also, we have one unit with phantom currents being displayed.  I was limited on troubleshooting live gear (Facebook was right on top of me) and they would not give permission to shut it back down.  The unit was completely unloaded and I verified with clampon.  It was showing current on all three phases and the neutral (around 150A) and I believe the meter base will need to be replaced.  The wiring of the CTís looked solid and I doubt all 4 CTís could be failed.  

I have attached pics of trendpoint meter and display.",PCBA - Software Issue,Tommy Waugh,Site Visit,Display,replace,Closed,7/8/2019 17:37,nan,,0.0,Product_2__c,True
31,5004600000A1uIJAAZ,"From Tommy Waugh: Once energized I did notice a few issues I could not resolve.  

First, half the units showed both Line-Line Voltage (480Vac) and Line-Neutral Voltage (277Vac) while the other half did not.  Pics attached.  These RPPís (if you can call them that) are Facebook specific and have trendpoint meters and none of our monitoring.  Speaking to Thun it seems like we should have received them already set up correctly.  I logged into the display (via touch screen) and also the meter base (using web interface with TCP/IP on laptop) and could not figure out how to reconfigure.  The site prefers that online line-Neutral be displayed on Main screen.  Also the ones that showed L-L also had setup button at the top right of screen while the ones not showing L-L did not have that setup button.  I believe this issue may be firmware related but without know much about these meters itís difficult to say.  Please advise.

Also, we have one unit with phantom currents being displayed.  I was limited on troubleshooting live gear (Facebook was right on top of me) and they would not give permission to shut it back down.  The unit was completely unloaded and I verified with clampon.  It was showing current on all three phases and the neutral (around 150A) and I believe the meter base will need to be replaced.  The wiring of the CTís looked solid and I doubt all 4 CTís could be failed.  

I have attached pics of trendpoint meter and display.",PCBA - Software Issue,Tommy Waugh,Site Visit,Display,replace,Closed,7/8/2019 17:37,nan,,0.0,Product_3__c,True
32,5004600000A1uIJAAZ,"From Tommy Waugh: Once energized I did notice a few issues I could not resolve.  

First, half the units showed both Line-Line Voltage (480Vac) and Line-Neutral Voltage (277Vac) while the other half did not.  Pics attached.  These RPPís (if you can call them that) are Facebook specific and have trendpoint meters and none of our monitoring.  Speaking to Thun it seems like we should have received them already set up correctly.  I logged into the display (via touch screen) and also the meter base (using web interface with TCP/IP on laptop) and could not figure out how to reconfigure.  The site prefers that online line-Neutral be displayed on Main screen.  Also the ones that showed L-L also had setup button at the top right of screen while the ones not showing L-L did not have that setup button.  I believe this issue may be firmware related but without know much about these meters itís difficult to say.  Please advise.

Also, we have one unit with phantom currents being displayed.  I was limited on troubleshooting live gear (Facebook was right on top of me) and they would not give permission to shut it back down.  The unit was completely unloaded and I verified with clampon.  It was showing current on all three phases and the neutral (around 150A) and I believe the meter base will need to be replaced.  The wiring of the CTís looked solid and I doubt all 4 CTís could be failed.  

I have attached pics of trendpoint meter and display.",PCBA - Software Issue,Tommy Waugh,Site Visit,Display,replace,Closed,7/8/2019 17:37,nan,,"From Tommy Waugh: Once energized I did notice a few issues I could not resolve.  

First, half the units showed both Line-Line Voltage (480Vac) and Line-Neutral Voltage (277Vac) while the other half did not.  Pics attached.  These RPPís (if you can call them that) are Facebook specific and have trendpoint meters and none of our monitoring.  Speaking to Thun it seems like we should have received them already set up correctly.  I logged into the display (via touch screen) and also the meter base (using web interface with TCP/IP on laptop) and could not figure out how to reconfigure.  The site prefers that online line-Neutral be displayed on Main screen.  Also the ones that showed L-L also had setup button at the top right of screen while the ones not showing L-L did not have that setup button.  I believe this issue may be firmware related but without know much about these meters itís difficult to say.  Please advise.

Also, we have one unit with phantom currents being displayed.  I was limited on troubleshooting live gear (Facebook was right on top of me) and they would not give permission to shut it back down.  The unit was completely unloaded and I verified with clampon.  It was showing current on all three phases and the neutral (around 150A) and I believe the meter base will need to be replaced.  The wiring of the CTís looked solid and I doubt all 4 CTís could be failed.  

I have attached pics of trendpoint meter and display.",Serial_Date_Lot_Code__c,True
33,50046000006a4OUAAY,"Notes from customer: 

I ran into an issue where PDU 3B will not communicate with the CoreSite Network.  I talked with PDI tech support and we came to the conclusion that the actual Ethernet connection on the PDU found behind the display is not functioning properly.  The Ethernet module and/or the circuit board behind the display probably needs to be replaced.",PCBA - Hardware Issue,Access via security. All safety followed per specs.  I replaced the Monitor on the display as the system had no communications with the BMS. PDU OPS check good.,Site Visit,Display,replace,Closed,7/3/2018 19:33,110-4701,110-4701,1.0,Product_1__c,True
34,50046000006a4OUAAY,"Notes from customer: 

I ran into an issue where PDU 3B will not communicate with the CoreSite Network.  I talked with PDI tech support and we came to the conclusion that the actual Ethernet connection on the PDU found behind the display is not functioning properly.  The Ethernet module and/or the circuit board behind the display probably needs to be replaced.",PCBA - Hardware Issue,Access via security. All safety followed per specs.  I replaced the Monitor on the display as the system had no communications with the BMS. PDU OPS check good.,Site Visit,Display,replace,Closed,7/3/2018 19:33,nan,,0.0,Product_2__c,True
35,50046000006a4OUAAY,"Notes from customer: 

I ran into an issue where PDU 3B will not communicate with the CoreSite Network.  I talked with PDI tech support and we came to the conclusion that the actual Ethernet connection on the PDU found behind the display is not functioning properly.  The Ethernet module and/or the circuit board behind the display probably needs to be replaced.",PCBA - Hardware Issue,Access via security. All safety followed per specs.  I replaced the Monitor on the display as the system had no communications with the BMS. PDU OPS check good.,Site Visit,Display,replace,Closed,7/3/2018 19:33,nan,,0.0,Product_3__c,True
36,50046000006a4OUAAY,"Notes from customer: 

I ran into an issue where PDU 3B will not communicate with the CoreSite Network.  I talked with PDI tech support and we came to the conclusion that the actual Ethernet connection on the PDU found behind the display is not functioning properly.  The Ethernet module and/or the circuit board behind the display probably needs to be replaced.",PCBA - Hardware Issue,Access via security. All safety followed per specs.  I replaced the Monitor on the display as the system had no communications with the BMS. PDU OPS check good.,Site Visit,Display,replace,Closed,7/3/2018 19:33,nan,,"Notes from customer: 

I ran into an issue where PDU 3B will not communicate with the CoreSite Network.  I talked with PDI tech support and we came to the conclusion that the actual Ethernet connection on the PDU found behind the display is not functioning properly.  The Ethernet module and/or the circuit board behind the display probably needs to be replaced.",Serial_Date_Lot_Code__c,True
37,50046000000rC6JAAU,M4 ASIM board and M4 DCM need to be replaced in unit SN: 120-0003,Hardware Issue - PDU,board installed,Site Visit,Display,replace,Closed,10/2/2016 23:57,120-0003,120-0003,1.0,Product_1__c,False
38,50046000000rC6JAAU,M4 ASIM board and M4 DCM need to be replaced in unit SN: 120-0003,Hardware Issue - PDU,board installed,Site Visit,Display,replace,Closed,10/2/2016 23:57,nan,,0.0,Product_2__c,True
39,50046000000rC6JAAU,M4 ASIM board and M4 DCM need to be replaced in unit SN: 120-0003,Hardware Issue - PDU,board installed,Site Visit,Display,replace,Closed,10/2/2016 23:57,nan,,0.0,Product_3__c,True
40,50046000000rC6JAAU,M4 ASIM board and M4 DCM need to be replaced in unit SN: 120-0003,Hardware Issue - PDU,board installed,Site Visit,Display,replace,Closed,10/2/2016 23:57,nan,,M4 ASIM board and M4 DCM need to be replaced in unit SN: 120-0003,Serial_Date_Lot_Code__c,True
41,50046000000rC6TAAU,"repair PDU by replacing the display. , serial # 110-3929.  Also has some 6 pin connectors that were damaged.  will need to replace.


Digital Realty
12231 N Freeway
Houston, TX  77067

contact
Chris Schmidt
832-517-5065",PCBA,replaced display and 6 pin connectors,Site Visit,Display,replace,Closed,8/18/2016 19:25,110-3928,110-3928,1.0,Product_1__c,True
42,50046000000rC6TAAU,"repair PDU by replacing the display. , serial # 110-3929.  Also has some 6 pin connectors that were damaged.  will need to replace.


Digital Realty
12231 N Freeway
Houston, TX  77067

contact
Chris Schmidt
832-517-5065",PCBA,replaced display and 6 pin connectors,Site Visit,Display,replace,Closed,8/18/2016 19:25,nan,,0.0,Product_2__c,True
43,50046000000rC6TAAU,"repair PDU by replacing the display. , serial # 110-3929.  Also has some 6 pin connectors that were damaged.  will need to replace.


Digital Realty
12231 N Freeway
Houston, TX  77067

contact
Chris Schmidt
832-517-5065",PCBA,replaced display and 6 pin connectors,Site Visit,Display,replace,Closed,8/18/2016 19:25,nan,,0.0,Product_3__c,True
44,50046000000rC6TAAU,"repair PDU by replacing the display. , serial # 110-3929.  Also has some 6 pin connectors that were damaged.  will need to replace.


Digital Realty
12231 N Freeway
Houston, TX  77067

contact
Chris Schmidt
832-517-5065",PCBA,replaced display and 6 pin connectors,Site Visit,Display,replace,Closed,8/18/2016 19:25,nan,,"repair PDU by replacing the display. , serial # 110-3929.  Also has some 6 pin connectors that were damaged.  will need to replace.


Digital Realty
12231 N Freeway
Houston, TX  77067

contact
Chris Schmidt
832-517-5065",Serial_Date_Lot_Code__c,True
45,50046000005PJv1AAG,"replace display on switch that the screen is fading and hard to read on two STS  411-0112-1 & 411-0112-5

SAS TX3 alarm on 411-0112-10

site
Ascent
suite 400
505 N Railroad 
Northlake, IL",PCBA,One unit had a Tx alarm which was cut and reseated.  2 units had screens that were fading out.  All repairs made.,Site Visit,Display,replace,Closed,1/17/2018 16:00,411-0112,411-0112,3.0,Product_1__c,True
46,50046000005PJv1AAG,"replace display on switch that the screen is fading and hard to read on two STS  411-0112-1 & 411-0112-5

SAS TX3 alarm on 411-0112-10

site
Ascent
suite 400
505 N Railroad 
Northlake, IL",PCBA,One unit had a Tx alarm which was cut and reseated.  2 units had screens that were fading out.  All repairs made.,Site Visit,Display,replace,Closed,1/17/2018 16:00,nan,,0.0,Product_2__c,True
