,Id,Customer_Issue_Summary__c,Customer_Issue__c,Resolution_Summary__c,Resolution__c,component,type,Status,ClosedDate,SerialNumberOrg,SerialNumberContract,Qty,src,SerialNumber,flag_validinstall
84,50046000000rCLSAA2,"To upgrade PDUs skins with brightly colored panels (Red and Blue) on (10) PDUs; 110-4585-1-10  
- Units are accessible from all sides
- **PDU frame will remain the same
black color**

PDU front doors on (10) and removal of (9) rear panels; One unit cannot change the rear panel
- **Interior door will remain the same
IBM white color**",Hardware Issue - PDU,"Comcast - Philadelphia, PA
5/2/17

All covers have been installed.
A1, A2, A3, A4, A5 = These units were given the red covers.
B1, B2, B3, B4, B5 = These units were given the blue covers.",Site Visit,Display,upgrade,Closed,5/3/2017 17:30,110-4585-1-10,"To upgrade PDUs skins with brightly colored panels (Red and Blue) on (10) PDUs; 110-4585-1-10  
- Units are accessible from all sides
- **PDU frame will remain the same
black color**

PDU front doors on (10) and removal of (9) rear panels; One unit cannot change the rear panel
- **Interior door will remain the same
IBM white color**",0.0,Customer_Issue_Summary__c,110-4585-1,True
85,50046000000rCLSAA2,"To upgrade PDUs skins with brightly colored panels (Red and Blue) on (10) PDUs; 110-4585-1-10  
- Units are accessible from all sides
- **PDU frame will remain the same
black color**

PDU front doors on (10) and removal of (9) rear panels; One unit cannot change the rear panel
- **Interior door will remain the same
IBM white color**",Hardware Issue - PDU,"Comcast - Philadelphia, PA
5/2/17

All covers have been installed.
A1, A2, A3, A4, A5 = These units were given the red covers.
B1, B2, B3, B4, B5 = These units were given the blue covers.",Site Visit,Display,upgrade,Closed,5/3/2017 17:30,110-4585-1-10,"To upgrade PDUs skins with brightly colored panels (Red and Blue) on (10) PDUs; 110-4585-1-10  
- Units are accessible from all sides
- **PDU frame will remain the same
black color**

PDU front doors on (10) and removal of (9) rear panels; One unit cannot change the rear panel
- **Interior door will remain the same
IBM white color**",0.0,Customer_Issue_Summary__c,110-4585-2,True
86,50046000000rCLSAA2,"To upgrade PDUs skins with brightly colored panels (Red and Blue) on (10) PDUs; 110-4585-1-10  
- Units are accessible from all sides
- **PDU frame will remain the same
black color**

PDU front doors on (10) and removal of (9) rear panels; One unit cannot change the rear panel
- **Interior door will remain the same
IBM white color**",Hardware Issue - PDU,"Comcast - Philadelphia, PA
5/2/17

All covers have been installed.
A1, A2, A3, A4, A5 = These units were given the red covers.
B1, B2, B3, B4, B5 = These units were given the blue covers.",Site Visit,Display,upgrade,Closed,5/3/2017 17:30,110-4585-1-10,"To upgrade PDUs skins with brightly colored panels (Red and Blue) on (10) PDUs; 110-4585-1-10  
- Units are accessible from all sides
- **PDU frame will remain the same
black color**

PDU front doors on (10) and removal of (9) rear panels; One unit cannot change the rear panel
- **Interior door will remain the same
IBM white color**",0.0,Customer_Issue_Summary__c,110-4585-3,True
87,50046000000rCLSAA2,"To upgrade PDUs skins with brightly colored panels (Red and Blue) on (10) PDUs; 110-4585-1-10  
- Units are accessible from all sides
- **PDU frame will remain the same
black color**

PDU front doors on (10) and removal of (9) rear panels; One unit cannot change the rear panel
- **Interior door will remain the same
IBM white color**",Hardware Issue - PDU,"Comcast - Philadelphia, PA
5/2/17

All covers have been installed.
A1, A2, A3, A4, A5 = These units were given the red covers.
B1, B2, B3, B4, B5 = These units were given the blue covers.",Site Visit,Display,upgrade,Closed,5/3/2017 17:30,110-4585-1-10,"To upgrade PDUs skins with brightly colored panels (Red and Blue) on (10) PDUs; 110-4585-1-10  
- Units are accessible from all sides
- **PDU frame will remain the same
black color**

PDU front doors on (10) and removal of (9) rear panels; One unit cannot change the rear panel
- **Interior door will remain the same
IBM white color**",0.0,Customer_Issue_Summary__c,110-4585-4,True
88,50046000000rCLSAA2,"To upgrade PDUs skins with brightly colored panels (Red and Blue) on (10) PDUs; 110-4585-1-10  
- Units are accessible from all sides
- **PDU frame will remain the same
black color**

PDU front doors on (10) and removal of (9) rear panels; One unit cannot change the rear panel
- **Interior door will remain the same
IBM white color**",Hardware Issue - PDU,"Comcast - Philadelphia, PA
5/2/17

All covers have been installed.
A1, A2, A3, A4, A5 = These units were given the red covers.
B1, B2, B3, B4, B5 = These units were given the blue covers.",Site Visit,Display,upgrade,Closed,5/3/2017 17:30,110-4585-1-10,"To upgrade PDUs skins with brightly colored panels (Red and Blue) on (10) PDUs; 110-4585-1-10  
- Units are accessible from all sides
- **PDU frame will remain the same
black color**

PDU front doors on (10) and removal of (9) rear panels; One unit cannot change the rear panel
- **Interior door will remain the same
IBM white color**",0.0,Customer_Issue_Summary__c,110-4585-5,True
89,50046000000rCLSAA2,"To upgrade PDUs skins with brightly colored panels (Red and Blue) on (10) PDUs; 110-4585-1-10  
- Units are accessible from all sides
- **PDU frame will remain the same
black color**

PDU front doors on (10) and removal of (9) rear panels; One unit cannot change the rear panel
- **Interior door will remain the same
IBM white color**",Hardware Issue - PDU,"Comcast - Philadelphia, PA
5/2/17

All covers have been installed.
A1, A2, A3, A4, A5 = These units were given the red covers.
B1, B2, B3, B4, B5 = These units were given the blue covers.",Site Visit,Display,upgrade,Closed,5/3/2017 17:30,110-4585-1-10,"To upgrade PDUs skins with brightly colored panels (Red and Blue) on (10) PDUs; 110-4585-1-10  
- Units are accessible from all sides
- **PDU frame will remain the same
black color**

PDU front doors on (10) and removal of (9) rear panels; One unit cannot change the rear panel
- **Interior door will remain the same
IBM white color**",0.0,Customer_Issue_Summary__c,110-4585-6,True
90,50046000000rCLSAA2,"To upgrade PDUs skins with brightly colored panels (Red and Blue) on (10) PDUs; 110-4585-1-10  
- Units are accessible from all sides
- **PDU frame will remain the same
black color**

PDU front doors on (10) and removal of (9) rear panels; One unit cannot change the rear panel
- **Interior door will remain the same
IBM white color**",Hardware Issue - PDU,"Comcast - Philadelphia, PA
5/2/17

All covers have been installed.
A1, A2, A3, A4, A5 = These units were given the red covers.
B1, B2, B3, B4, B5 = These units were given the blue covers.",Site Visit,Display,upgrade,Closed,5/3/2017 17:30,110-4585-1-10,"To upgrade PDUs skins with brightly colored panels (Red and Blue) on (10) PDUs; 110-4585-1-10  
- Units are accessible from all sides
- **PDU frame will remain the same
black color**

PDU front doors on (10) and removal of (9) rear panels; One unit cannot change the rear panel
- **Interior door will remain the same
IBM white color**",0.0,Customer_Issue_Summary__c,110-4585-7,True
91,50046000000rCLSAA2,"To upgrade PDUs skins with brightly colored panels (Red and Blue) on (10) PDUs; 110-4585-1-10  
- Units are accessible from all sides
- **PDU frame will remain the same
black color**

PDU front doors on (10) and removal of (9) rear panels; One unit cannot change the rear panel
- **Interior door will remain the same
IBM white color**",Hardware Issue - PDU,"Comcast - Philadelphia, PA
5/2/17

All covers have been installed.
A1, A2, A3, A4, A5 = These units were given the red covers.
B1, B2, B3, B4, B5 = These units were given the blue covers.",Site Visit,Display,upgrade,Closed,5/3/2017 17:30,110-4585-1-10,"To upgrade PDUs skins with brightly colored panels (Red and Blue) on (10) PDUs; 110-4585-1-10  
- Units are accessible from all sides
- **PDU frame will remain the same
black color**

PDU front doors on (10) and removal of (9) rear panels; One unit cannot change the rear panel
- **Interior door will remain the same
IBM white color**",0.0,Customer_Issue_Summary__c,110-4585-8,True
92,50046000000rCLSAA2,"To upgrade PDUs skins with brightly colored panels (Red and Blue) on (10) PDUs; 110-4585-1-10  
- Units are accessible from all sides
- **PDU frame will remain the same
black color**

PDU front doors on (10) and removal of (9) rear panels; One unit cannot change the rear panel
- **Interior door will remain the same
IBM white color**",Hardware Issue - PDU,"Comcast - Philadelphia, PA
5/2/17

All covers have been installed.
A1, A2, A3, A4, A5 = These units were given the red covers.
B1, B2, B3, B4, B5 = These units were given the blue covers.",Site Visit,Display,upgrade,Closed,5/3/2017 17:30,110-4585-1-10,"To upgrade PDUs skins with brightly colored panels (Red and Blue) on (10) PDUs; 110-4585-1-10  
- Units are accessible from all sides
- **PDU frame will remain the same
black color**

PDU front doors on (10) and removal of (9) rear panels; One unit cannot change the rear panel
- **Interior door will remain the same
IBM white color**",0.0,Customer_Issue_Summary__c,110-4585-9,True
93,50046000000rCLSAA2,"To upgrade PDUs skins with brightly colored panels (Red and Blue) on (10) PDUs; 110-4585-1-10  
- Units are accessible from all sides
- **PDU frame will remain the same
black color**

PDU front doors on (10) and removal of (9) rear panels; One unit cannot change the rear panel
- **Interior door will remain the same
IBM white color**",Hardware Issue - PDU,"Comcast - Philadelphia, PA
5/2/17

All covers have been installed.
A1, A2, A3, A4, A5 = These units were given the red covers.
B1, B2, B3, B4, B5 = These units were given the blue covers.",Site Visit,Display,upgrade,Closed,5/3/2017 17:30,110-4585-1-10,"To upgrade PDUs skins with brightly colored panels (Red and Blue) on (10) PDUs; 110-4585-1-10  
- Units are accessible from all sides
- **PDU frame will remain the same
black color**

PDU front doors on (10) and removal of (9) rear panels; One unit cannot change the rear panel
- **Interior door will remain the same
IBM white color**",0.0,Customer_Issue_Summary__c,110-4585-10,True
205,50046000005Pmc8AAC,"issue from site: 


PDU-14B has been setting alarms throughout the shift. 
-	Mon 11/28/2017 07:00 PM - BSN003. RF.2. PDU-14B. Once again, the alarm for UNDER VOLT MAIN. (Pic attached) 
ï	I stopped the audible alarm at the PDU display. 
ï	I clear the alarm at the display and the alarm light shuts off. 
ï	No further alarms at PDU-14B through the shift. 

-	Tue 11/27/2017 2:28 AM - AM BCMS Alarm from PDU_14B_P3/Main/Volts_B_N 
State: Normal / Unacked 
Text: OUT OF RANGE alarm has returned to Normal. 

-	Tue 11/28/2017 2:28 AM - BCMS Alarm from PDU_14B_P3/Main/Volts_B_N 
State: Offnormal / Unacked 
Text: UNDER VOLTAGE ALARM ACTIVE! The Phase to Neutral voltage is currently at 90.40 V and is out of the acceptable range. 

-	Tues 11/28/2017 04:28 PM - BSN003. RF.2. PDU-14B. Once again, the alarm for UNDER VOLT MAIN. (Pic attached) 
ï	I stopped the audible alarm at the PDU display. 
ï	I clear the alarm at the display and the alarm light shuts off. 
ï	No further alarms at PDU-14B through the shift. 


Scope: Calibrate unit if possible, if this does not clear alarm, replace BCMS board. 

Replace BCMS board in unit 110-2836 
Software 6.xxx",PCBA,Board was replaced and setup to correct the issue.,Site Visit,Display,replace,Closed,12/21/2017 16:50,110-2836,110-2836,1.0,Product_1__c,110-2836-1,True
206,50046000005Pmc8AAC,"issue from site: 


PDU-14B has been setting alarms throughout the shift. 
-	Mon 11/28/2017 07:00 PM - BSN003. RF.2. PDU-14B. Once again, the alarm for UNDER VOLT MAIN. (Pic attached) 
ï	I stopped the audible alarm at the PDU display. 
ï	I clear the alarm at the display and the alarm light shuts off. 
ï	No further alarms at PDU-14B through the shift. 

-	Tue 11/27/2017 2:28 AM - AM BCMS Alarm from PDU_14B_P3/Main/Volts_B_N 
State: Normal / Unacked 
Text: OUT OF RANGE alarm has returned to Normal. 

-	Tue 11/28/2017 2:28 AM - BCMS Alarm from PDU_14B_P3/Main/Volts_B_N 
State: Offnormal / Unacked 
Text: UNDER VOLTAGE ALARM ACTIVE! The Phase to Neutral voltage is currently at 90.40 V and is out of the acceptable range. 

-	Tues 11/28/2017 04:28 PM - BSN003. RF.2. PDU-14B. Once again, the alarm for UNDER VOLT MAIN. (Pic attached) 
ï	I stopped the audible alarm at the PDU display. 
ï	I clear the alarm at the display and the alarm light shuts off. 
ï	No further alarms at PDU-14B through the shift. 


Scope: Calibrate unit if possible, if this does not clear alarm, replace BCMS board. 

Replace BCMS board in unit 110-2836 
Software 6.xxx",PCBA,Board was replaced and setup to correct the issue.,Site Visit,Display,replace,Closed,12/21/2017 16:50,110-2836,110-2836,1.0,Product_1__c,110-2836-1,True
207,50046000005Pmc8AAC,"issue from site: 


PDU-14B has been setting alarms throughout the shift. 
-	Mon 11/28/2017 07:00 PM - BSN003. RF.2. PDU-14B. Once again, the alarm for UNDER VOLT MAIN. (Pic attached) 
ï	I stopped the audible alarm at the PDU display. 
ï	I clear the alarm at the display and the alarm light shuts off. 
ï	No further alarms at PDU-14B through the shift. 

-	Tue 11/27/2017 2:28 AM - AM BCMS Alarm from PDU_14B_P3/Main/Volts_B_N 
State: Normal / Unacked 
Text: OUT OF RANGE alarm has returned to Normal. 

-	Tue 11/28/2017 2:28 AM - BCMS Alarm from PDU_14B_P3/Main/Volts_B_N 
State: Offnormal / Unacked 
Text: UNDER VOLTAGE ALARM ACTIVE! The Phase to Neutral voltage is currently at 90.40 V and is out of the acceptable range. 

-	Tues 11/28/2017 04:28 PM - BSN003. RF.2. PDU-14B. Once again, the alarm for UNDER VOLT MAIN. (Pic attached) 
ï	I stopped the audible alarm at the PDU display. 
ï	I clear the alarm at the display and the alarm light shuts off. 
ï	No further alarms at PDU-14B through the shift. 


Scope: Calibrate unit if possible, if this does not clear alarm, replace BCMS board. 

Replace BCMS board in unit 110-2836 
Software 6.xxx",PCBA,Board was replaced and setup to correct the issue.,Site Visit,Display,replace,Closed,12/21/2017 16:50,110-2836,110-2836,1.0,Product_1__c,110-2836-1,True
208,50046000005Pmc8AAC,"issue from site: 


PDU-14B has been setting alarms throughout the shift. 
-	Mon 11/28/2017 07:00 PM - BSN003. RF.2. PDU-14B. Once again, the alarm for UNDER VOLT MAIN. (Pic attached) 
ï	I stopped the audible alarm at the PDU display. 
ï	I clear the alarm at the display and the alarm light shuts off. 
ï	No further alarms at PDU-14B through the shift. 

-	Tue 11/27/2017 2:28 AM - AM BCMS Alarm from PDU_14B_P3/Main/Volts_B_N 
State: Normal / Unacked 
Text: OUT OF RANGE alarm has returned to Normal. 

-	Tue 11/28/2017 2:28 AM - BCMS Alarm from PDU_14B_P3/Main/Volts_B_N 
State: Offnormal / Unacked 
Text: UNDER VOLTAGE ALARM ACTIVE! The Phase to Neutral voltage is currently at 90.40 V and is out of the acceptable range. 

-	Tues 11/28/2017 04:28 PM - BSN003. RF.2. PDU-14B. Once again, the alarm for UNDER VOLT MAIN. (Pic attached) 
ï	I stopped the audible alarm at the PDU display. 
ï	I clear the alarm at the display and the alarm light shuts off. 
ï	No further alarms at PDU-14B through the shift. 


Scope: Calibrate unit if possible, if this does not clear alarm, replace BCMS board. 

Replace BCMS board in unit 110-2836 
Software 6.xxx",PCBA,Board was replaced and setup to correct the issue.,Site Visit,Display,replace,Closed,12/21/2017 16:50,110-2836,110-2836,1.0,Product_1__c,110-2836-1,True
400,50046000005Pmc8AAC,"issue from site: 


PDU-14B has been setting alarms throughout the shift. 
-	Mon 11/28/2017 07:00 PM - BSN003. RF.2. PDU-14B. Once again, the alarm for UNDER VOLT MAIN. (Pic attached) 
ï	I stopped the audible alarm at the PDU display. 
ï	I clear the alarm at the display and the alarm light shuts off. 
ï	No further alarms at PDU-14B through the shift. 

-	Tue 11/27/2017 2:28 AM - AM BCMS Alarm from PDU_14B_P3/Main/Volts_B_N 
State: Normal / Unacked 
Text: OUT OF RANGE alarm has returned to Normal. 

-	Tue 11/28/2017 2:28 AM - BCMS Alarm from PDU_14B_P3/Main/Volts_B_N 
State: Offnormal / Unacked 
Text: UNDER VOLTAGE ALARM ACTIVE! The Phase to Neutral voltage is currently at 90.40 V and is out of the acceptable range. 

-	Tues 11/28/2017 04:28 PM - BSN003. RF.2. PDU-14B. Once again, the alarm for UNDER VOLT MAIN. (Pic attached) 
ï	I stopped the audible alarm at the PDU display. 
ï	I clear the alarm at the display and the alarm light shuts off. 
ï	No further alarms at PDU-14B through the shift. 


Scope: Calibrate unit if possible, if this does not clear alarm, replace BCMS board. 

Replace BCMS board in unit 110-2836 
Software 6.xxx",PCBA,Board was replaced and setup to correct the issue.,Site Visit,Display,replace,Closed,12/21/2017 16:50,110-2836,"issue from site: 


PDU-14B has been setting alarms throughout the shift. 
-	Mon 11/28/2017 07:00 PM - BSN003. RF.2. PDU-14B. Once again, the alarm for UNDER VOLT MAIN. (Pic attached) 
ï	I stopped the audible alarm at the PDU display. 
ï	I clear the alarm at the display and the alarm light shuts off. 
ï	No further alarms at PDU-14B through the shift. 

-	Tue 11/27/2017 2:28 AM - AM BCMS Alarm from PDU_14B_P3/Main/Volts_B_N 
State: Normal / Unacked 
Text: OUT OF RANGE alarm has returned to Normal. 

-	Tue 11/28/2017 2:28 AM - BCMS Alarm from PDU_14B_P3/Main/Volts_B_N 
State: Offnormal / Unacked 
Text: UNDER VOLTAGE ALARM ACTIVE! The Phase to Neutral voltage is currently at 90.40 V and is out of the acceptable range. 

-	Tues 11/28/2017 04:28 PM - BSN003. RF.2. PDU-14B. Once again, the alarm for UNDER VOLT MAIN. (Pic attached) 
ï	I stopped the audible alarm at the PDU display. 
ï	I clear the alarm at the display and the alarm light shuts off. 
ï	No further alarms at PDU-14B through the shift. 


Scope: Calibrate unit if possible, if this does not clear alarm, replace BCMS board. 

Replace BCMS board in unit 110-2836 
Software 6.xxx",0.0,Customer_Issue_Summary__c,110-2836-1,True
401,50046000005Pmc8AAC,"issue from site: 


PDU-14B has been setting alarms throughout the shift. 
-	Mon 11/28/2017 07:00 PM - BSN003. RF.2. PDU-14B. Once again, the alarm for UNDER VOLT MAIN. (Pic attached) 
ï	I stopped the audible alarm at the PDU display. 
ï	I clear the alarm at the display and the alarm light shuts off. 
ï	No further alarms at PDU-14B through the shift. 

-	Tue 11/27/2017 2:28 AM - AM BCMS Alarm from PDU_14B_P3/Main/Volts_B_N 
State: Normal / Unacked 
Text: OUT OF RANGE alarm has returned to Normal. 

-	Tue 11/28/2017 2:28 AM - BCMS Alarm from PDU_14B_P3/Main/Volts_B_N 
State: Offnormal / Unacked 
Text: UNDER VOLTAGE ALARM ACTIVE! The Phase to Neutral voltage is currently at 90.40 V and is out of the acceptable range. 

-	Tues 11/28/2017 04:28 PM - BSN003. RF.2. PDU-14B. Once again, the alarm for UNDER VOLT MAIN. (Pic attached) 
ï	I stopped the audible alarm at the PDU display. 
ï	I clear the alarm at the display and the alarm light shuts off. 
ï	No further alarms at PDU-14B through the shift. 


Scope: Calibrate unit if possible, if this does not clear alarm, replace BCMS board. 

Replace BCMS board in unit 110-2836 
Software 6.xxx",PCBA,Board was replaced and setup to correct the issue.,Site Visit,Display,replace,Closed,12/21/2017 16:50,110-2836,"issue from site: 


PDU-14B has been setting alarms throughout the shift. 
-	Mon 11/28/2017 07:00 PM - BSN003. RF.2. PDU-14B. Once again, the alarm for UNDER VOLT MAIN. (Pic attached) 
ï	I stopped the audible alarm at the PDU display. 
ï	I clear the alarm at the display and the alarm light shuts off. 
ï	No further alarms at PDU-14B through the shift. 

-	Tue 11/27/2017 2:28 AM - AM BCMS Alarm from PDU_14B_P3/Main/Volts_B_N 
State: Normal / Unacked 
Text: OUT OF RANGE alarm has returned to Normal. 

-	Tue 11/28/2017 2:28 AM - BCMS Alarm from PDU_14B_P3/Main/Volts_B_N 
State: Offnormal / Unacked 
Text: UNDER VOLTAGE ALARM ACTIVE! The Phase to Neutral voltage is currently at 90.40 V and is out of the acceptable range. 

-	Tues 11/28/2017 04:28 PM - BSN003. RF.2. PDU-14B. Once again, the alarm for UNDER VOLT MAIN. (Pic attached) 
ï	I stopped the audible alarm at the PDU display. 
ï	I clear the alarm at the display and the alarm light shuts off. 
ï	No further alarms at PDU-14B through the shift. 


Scope: Calibrate unit if possible, if this does not clear alarm, replace BCMS board. 

Replace BCMS board in unit 110-2836 
Software 6.xxx",0.0,Customer_Issue_Summary__c,110-2836-1,True
