,SerialNumber
34,"Start up of (2) STS, serial # 411-0293-1-2 site Aligned Data Center 2800 Summit Avenue Plano, TX 75074 "
35,4 x additional comms cables required for recent order of 4 x TOB's to be shipped with SO23930 which is due for delivery on 18th Jan 2016 
36,To repair EPO on PDU; unit did not shunt trip when EPO was pressed 
37,Customer is having issues with getting all information / alarms from the static switch thru Modbus TCP/IP. Customer can see the information but missing some information . Monitor was reset. 
38,"Scope: To inspect High Voltage alarms Phase alarms and digital alarms. Monitor was replaced recently. Site Address: Scana 1413 Bluff Road MC M33 Columbia, SC 29201 Site Contact: Gary Clevenger 803-603-6095 "
39,Front Subfeed upgrade Without Subfeed Monitoring Product Description Upgrade 110Å-2602; SO12071 Description: Each Kit Includes: - (1) Component Mounting Pan (PNL08800) - (8) SQD JGL36250CU31X - (CKB15430T) - NETA testing of all (8) breakers - 2/0 Power Wiring - Solid Cable landing tray (PNL09205) Production notes: All Breakers to be mounted to component mounting pan prior to shipment. Include mounting hardware for installing in field. 
40,"CT's for the 4 end feeds were missing. sending replacement. site Dell Plano, TX "
41,Breakers not set during production nor SU. 
42,"Infinity RPP software upgrade 8 units site IBM Cloud CyrusOne 1649 W Frankford Rd Carrollton, TX 75007 "
43,"Infinity RPP software upgrade 8 units site IBM Cloud Digital Realty 907 Security Row Richardson, tX "
44,We have a PDU monitor that is showing incorrect values after we performed a shutdown of the PDU Unit so we could repair the STS that provides power to the PDU. 4/9/18 - R. Kong - Site Issue/comments Dallas chip was removed from spare DCM board from Inventory. 3 Dallas chips will need to be ordered for replacement on 2 DCM boards and 1 as spare. 
45,"Unit giving SAS 1, SAS 2 and SAS 3 source 1 alarms intermittingly. Seems to be a SAS board issue. Issue Started Friday Evening 9/22/17. Site ok to wait until Monday. "
46,Install M4 PDU to WaveStar Color PDU Monitoring Upgrade under SO# 29183. Site location/address shipping information to be provided week of 5/14. 
47,troubleshooted the switch last night and did not find any particular issue with the equipment. It did not perform perfectly through the reset and restore process. After a calibration and a full reset of the breakers we did get the switch to operate as normal. I performed several transfers without issue. The customer decided to leave the switch in bypass on their preferred source (Source 2). Speaking with Costas the next step would be to potentially change some boards and go from there. One of the theories is that something downstream could have caused an issue as well but we do not have any evidence of that. State street is going to test all branch circuits before restoring power to their equipment as a precaution to prevent further issues 
48,We have an ASTS that is currently going in and out of alarm. The alarm is ìDigital Alarm SAS Tx 3 Downî. 
49,Unit 110-1807-5 has a line to neutral issue voltage showing 0V when it should be 120V 
50,RPPs (RPP-1A-4-1) S# 180-2547-3 we started up last year is missing a BCMS CT strip (PCB08706B). 
51,Customer called Emergency support 5/13/18... Phase alarm - alarms since clear: isolation 1 CB open isolation 2 CB open bypass SW1 Alarm 
52,We have RPPs that need the breaker settings updated. I have included a picture of the ID tag of one of the RPPs. The work will require plugging in to 12 different panels (6 front and back) to change the breaker set-points. Will you please quote us what this work will cost? 
53,Provide stand-by and monitoring services of PDU's during Georgia Power removal of utilities from building. Equipment to be monitored onsite : a.	Generators ( Prime Power) b.	ATS (Russelectric) c.	UPS units Mitsubishi (Unified) & Vertiv. d.	PDU units PDI & Vertiv. e.	Chiller Plant ( Siemens). 
54,Installation and troubleshooting of communications issue within RPP 180-1854-6 
55,We are having an ongoing issue with PDU-1AB1 with it getting high amperage readings on the C phase of the B side of the PDU. We verified through our critical distribution switchgear that the reading is false. I am not sure if we need it to be calibrated or need to replace a component. 
56,Breakers in RPP's were sent w/o NETA testing. Breakers were sent back to RIC for NETA testing. Wrong parts were sent back to customer. 
57,I received dead fronts Monday evening. I noted possible damage on BOL as pallets came stacked even though labels said do not stack. We just started to inspect this morning and indeed damage to both top and bottom pallets. We did try to fit one onto a PDU and noticed they do not fit right. There is a Large gap at bottom and about 1/2î space from breaker all around. The breaker settings are also in accessible. Damage and probable scratches being no protection between stacking layers. Pictures from customer attached in noted 
58,"SAS Tx2 down alarm 411-0169 site GPX Cairo, Egypt "
59,Two days end user training at PDI in Richmond 
60,transfer issues on STS 442-0197 site Schneider Mexico 
61,"URBACON is looking to change all breakers to have 400AT, and I believe the initial understanding was that all breaker wiring was to be set to accommodate 400AT too. From Ajith: Urbacon is GEís customer and Microsoft is the end user. Customer is changing the 250A trip plug from 400A trip plugs for all three CBs in all PDUs. This means 3X 5ft long 3/O wire needs to be added to each breaker. ABB and the contractor will buy the breaker and CTs for the modification. What they need from us is 72X 5ft long 3/O wires and associated lugs/hardware. I have listed below the materials given by engineering. GE/ABB also requesting PDI to send a service tech to do this wiring on one unit and ABB/contractor will complete the remaining 23 units on their own. They are doing this to expedite the work as PDU work is the only remaining item. "
62,Ribbon cables incorrectly routed in the unit. testbay also incorrectly set BCMS to use Longstrip command to view data 
63,The input PM lost communications 
64,"Device	Device Name	Area	Block	IP Address	Notes 	 	 	 	 	 Power Distribution Inc. (PDI)	D1-RPP.UPS.A1-A140B-01	A140B	Block A	http://192.168.12.171 negative kWh Volume , kw Power too high, 0v Voltage on Pnl 1 Power Distribution Inc. (PDI)	D1-RPP.UPS.A1-A150B-01	A150B	Block A	http://192.168.12.191 negative kWh Volume , kw Power too high, 0v Voltage on Pnl 1 Power Distribution Inc. (PDI)	D1-PDU.UPS.A1-A140B.01	A140B	Block A	http://192.168.12.132 negative kWh Volume Power Distribution Inc. (PDI)	D1-PDU.UPS.B1-A144B-01	A144B	Block A	http://192.168.12.131 negative kWh Volume Power Distribution Inc. (PDI)	D1-RPP.UPS.B1-A144B-01	A144B	Block A	http://192.168.12.170 negative kWh Volume , kw Power too high, 0v Voltage on Pnl 1 & 2 Power Distribution Inc. (PDI)	D1-RPP.UPS.B1-A150B-01	A150B	Block A	http://192.168.12.175 negative kWh Volume , kw Power too high, 0v Voltage on Pnl 1 Power Distribution Inc. (PDI)	D1-PDU.UPS.C1-A150B-01	A150B	Block A	http://192.168.12.133 negative kWh Volume Power Distribution Inc. (PDI)	D1-RPP.UPS.C1-A150B-01	A150B	Block A	http://192.168.12.172 negative kWh Volume , kw Power too high, 0v Voltage on Pnl 1 & 2 Power Distribution Inc. (PDI)	D1-RPP.UPS.C1-A150B.02	A150B	Block A	http://192.168.12.192 negative kWh Volume , kw Power too high, 0v Voltage on Pnl 1 	 	 	 	 	 Power Distribution Inc. (PDI)	D1-PDU.UPS.A2-B207.03	B207	Block B	http://192.168.12.137 negative kWh Volume Power Distribution Inc. (PDI)	D1-PDU.UPS.B2-B207.02	B207	Block B	http://192.168.12.138 negative kWh Volume Power Distribution Inc. (PDI)	D1-PDU.UPS.A2-B217.01	B217	Block B	http://192.168.12.134 negative kWh Volume Power Distribution Inc. (PDI)	D1-PDU.UPS.A2-B217.02	B217	Block B	http://192.168.12.136 negative kWh Volume Power Distribution Inc. (PDI)	D1-PDU.UPS.B2-B217.01	B217	Block B	http://192.168.12.135 negative kWh Volume 	 	 	 	 	 Power Distribution Inc. (PDI)	D1-RPP.UPS.A1-D142.01	D142	Block D	http://192.168.12.106 negative kWh Volume , kw Power too high Power Distribution Inc. (PDI)	D1-RPP.UPS.A1-D142.02	D142	Block D	http://192.168.12.108 negative kWh Volume , kw Power too high Power Distribution Inc. (PDI)	D1-RPP.UPS.B1-D142.01	D142	Block D	http://192.168.12.107 negative kWh Volume , kw Power too high, 0v Voltage on Pnl 1 & 2 Power Distribution Inc. (PDI)	D1-RPP.UPS.B1-D142.02	D142	Block D	http://192.168.12.109 negative kWh Volume , kw Power too high Power Distribution Inc. (PDI)	D1-RPP.UPS.C1-D142.01	D142	Block D	http://192.168.12.189 negative kWh Volume , kw Power too high Power Distribution Inc. (PDI)	D1-RPP.UPS.C1-D142.02	D142	Block D	http://192.168.12.190 negative kWh Volume , kw Power too high 	 	 	 	 ++ 	 Power Distribution Inc. (PDI)	D1-PDU.UPS.A2-C208.01	C208	Block C	http://192.168.12.230 kWh Volume rollover @ 65,535 kWh (Desired Conditon) Power Distribution Inc. (PDI)	D1-PDU.UPS.A2-C208.02	C208	Block C	http://192.168.12.233 kWh Volume rollover @ 65,535 kWh (Desired Conditon) Power Distribution Inc. (PDI)	D1-PDU.UPS.B2-C208.01	C208	Block C	http://192.168.12.231 kWh Volume rollover @ 65,535 kWh (Desired Conditon) Power Distribution Inc. (PDI)	D1-PDU.UPS.B2-C208.02	C208	Block C	http://192.168.12.234 kWh Volume rollover @ 65,535 kWh (Desired Conditon) Power Distribution Inc. (PDI)	D1-PDU.UPS.C2-C208.01	C208	Block C	http://192.168.12.232 kWh Volume rollover @ 65,535 kWh (Desired Conditon) Power Distribution Inc. (PDI)	D1-PDU.UPS.C2-C208.02	C208	Block C	http://192.168.12.235 kWh Volume rollover @ 65,535 kWh (Desired Conditon) "
65,"MRPP's are not all labelled the same as the other units, they are not even labelled uniformly on that one unit. Labels mixed between CB-.. AND CON.. (see pic). all other units as far as I have seen have been CB-1 etc. Also, we found that the camlock connection for L1 was spinning (see video) can you have your engineer address these items when onsite please stie Facebook - Ireland CLN1 SlÌ Na Ch·irde, Portan, Clonee, Co Meath, D15 RY88 contact Paul Browne (Facebook) +353867704335 "
66,PDU tripped the main breaker 
67,assist with start up site Upsistemas Columbia 
68,Scope: To inspect and repair (1) STS with SAS alarm; William Gorelle with Critical Power will be with you too for training purposes. you can give him an overview of the unit while you are there with him; summery alarm from STS1A2-6 this morning (SAS alarm) 
69,"customer received the display and installed it. However, display was not working properly. We had a technician troubleshoot over the phone. it was decided to send a replacement display site Upsistemas Brazil "
70,site has ï	ìSAS TX 1 DOWNî Alarm on STS 205 ï	ìSAS TX 1 DOWNî Alarm on STS 209 we also need to replace grid connects in 33 STS. 
71,SAS TX 3 Alarm 
72,Units were recently upgraded from M2 to monochrome M4G. After upgrade they began to experience intermittent low voltage alarms. the site also inquired why they didnt receive an audible alarm when these issues occurred. 
73,PM only on STS' 
74,Scope: To perform SU on (12) RPPs; 180-2364-1-12; SO 24196 
75,Each PDU has 4 devices: It looks like the mechanical distribution kilowatt hours readings are nonvolatile memory. But Panel Board 1&2 are volatile memory if power is switched off you loss the data? Can you please confirm? 
76,#NAME? 
77,(40) Replacement Masts requested - See attached for details. 
78,Scope: Remove 600A breaker and replace with 225A GE panel board with main breaker and complete; 110-4592-6 installation of GE panel assembly on (1) PDU; SO27191 
79,Customer request software change to BCMS settings 
80,"Inverter repairs Site: James Valley Telecommunications 206 East 2nd Ave Groton, SD 57445 contact: Jay Waage 605-397-1116 Arrive on site 10/7 @ 11:30pm Work to begin 10/8 - 12:00am - 6:00am. Return on Tues night to make sure repairs worked 10/8 11:30pm "
81,"Training on STS. Two sessions: 8:00am and Rev NS 6:00pm Site Verizon / Terremark 3000 Corvin Dr ( check in site) 2970 Corvin Dr (site for training) Santa Clara, CA "
82,"Onyx Inverter output wiring melted down. Site: James Valley Telecommunication 206 East 2nd Ave Groton, SD 57445 Contact: Jay Waage 605-397-1116 605-397-7116 cell Work to be performed on 9/5/13 @ 8:00am "
83,"replace S1S2DCP board, serial # 442-0069 Site: Digital Realty Santa Clara, CA Work to be performed on 8/8 @ 9:00am "
84,"Unit was delivered and the display had shifted. Put display back in place if possible. Site: Cyrus One 9999 Westover Hills Blvd San Antonio, TX 78251 Contact: Benito Rodriques 210-365-6437 Work to be performed on 6/14/13 "
85,Alarm Testing MOP requesting: Testing Needed for 3/18 & 3/19 
86,"Formal request for additional breakers at JOC MCDean is demanding we send them 500 more branch breakers as the drawings showed these on the PDUs. I went to the site and did a breaker count with them. What was shipped on the PDUs, MCDeans count, the factory order form, and the drawing set printed on site were all different. Dave Gensonís quote did not specify what breakers go on what PDU, I believe I was missing some of the drawings when I did the order form with Mike Vankay. Square D and MC Dean say the breakers were part of the PDU package. I am positive we did not take in account the breakers at the start of the job. I should have caught this when we got the change order for the 22kAIC breakers but I did not have those drawings. Part Number: (64) BCB06441 $9.91 each total $634 Part Number: (467) BCB06439 $5.43 each total $2,535 "
87,"Scope: 1) On 15 of the RPP the number identification of the breakers are no inline. Take a picture of the misalignment and send findings back to us for review 2) One RPP canít read the voltage Need to inspect this further and see whats going on 4) Communication problem when we restart an RPP, we lose the lecture of the voltage and we have to un hook the network cable to re establish the communication ( You also try during your last visit to trouble shoot this issue and again n news from you since ) Need to inspect this further and see whats going on Site address: Bell Canada 6207 rue Vanden Abeele Ville St-Laurent, QC H4S 1S1 Site Contact: Didier Doremy Laferriere, ing.Jr 514-870-5186 (o) 514-602-7456 (c) "
88,replace STS-2B graphics monitor with new firmware. site GPX Mumbai 
89,"It seems we have a dissatisfied customer. Steef Wolterink. from Contour for HP We have Manufactured 100 TOB different from previous order! The previous order for the Tap Off Boxes were manufactured in the UK under Mardix. Questions we need to respond too: 1,	The TOB's are boxes different in size dimension. (How is this possible to have two different size manufactured TOB's)? 2,	The Cable type. (The cable type isn't a problem as long as it complies to IEE regulations) please advise? 3,	Cable Gland. (The cable gland isn't a problem as long as it is holding the cable in place. Looking at the video clip it does not seem to be working correctly) please advise? 4,	MCB Breaker type? Before Schneider Now ETON. I don't think this is an issue as long as it is HP compliant) Please advise? 5, TOB's. are non-compliant with EU IEE regulations. The EU IEE cable regulations are: L1	Brown L2	Black L3	Gray "
90,"Scope: To inspect (3) STSs that had transfer issues; 420?0057; Units 1, 6 and 9 We have approval to proceed with the inspection of STS units 1, 6 and 9 on Saturday, July 29th (20:00:00ET ñ 05:00:00ET). We would also like to see the inspection of STS 6 to start after 01:00:00ET. "
91,1. RPP14D - In and out of communication failure 2. RPP62C - The enter key on the keypad is not working 3. RPP3B - The right arrow key is not working 4. RPP56E - Has a screen failure 5. PDU82 - Has a SAS TX alarm 6. PDU13 - Has a SAS TX alarm 
92,""" RPP-55A display "" RPP-3B right arrow key and display "" RPP-22B touchscreen enter key does not work "" RPP-55B and E comms failure "" PDU 83 SAS tx 3 alarm "
93,"To perform calibration the BCMS boards to work with the new CT Strips that were installed on the RPP's 16D, 17D, and 18D "
94,"Start-up of 10 PDUs 110-4474-1-10 Site address: Digital Realty 371 Gough Markham, Ont, L3R 4B6 Contact: JIMRY GALUT 905.752.5680 (o) 416.294.5423 (m) "
95,STS/PDU 2B1.1 which started producing SAS TX3 down alarms 
96,"CT strips were scratched/damaged and do not work - need to be replaced. ""Has scratches on its rear tracks"" "
97,Upgrade M2 monitor to monochrome monitor. 
98,"customer was expecting (566) Square D QOXD32 (plug-in mounting), but received (566) QOBXD32 (bolt-in mounting). order entry error site Teknica Santiago Chile "
99,"When the RPP is energized, the relay is constantly buzzing. "
100,Do we have any specification datasheets on the GLORIA CT component mounted on a single board connected within our TOBís? Trying to establish the accuracy ratio. Our current documentation states 1% but we know this is inaccurate and based on SquareD CTís. 
101,Upgrade each PDU with 2 100% rated breakers 2 ñ CKB11582 
102,SAS TX3 alarm 
103,we have shipped vertical hangers instead of Horizontal The incorrect TLN was used on the sales order site Anixter Honduras 
104,"Primary Integration has identified that a large number of RPPv2 on site have deficiencies around torque marking. They noted that yellow marks are broken/disturbed and blue marks are intact on several, and some missing marks. Will need to inspect all units and confirm any markings that are questionable. "
105,Primary integration has identified various units that have failed wire pull tests on trend point monitors where control power wires slipped out of connectors when pulled by hand. 
106,Unit getting TX1 alarm 
107,Primary Integration has identified that many RPPv2 on site have deficiencies around wire bending radius being too sharp and putting excess pressure on lug termination points. Cables will need to be inspected and rerouted as required to reduce bending stress. 
108,Primary Integration has identified that all RPPv2 units on site have heat shrink that has not been completely shrunk. Saying this will have to be completely shrunk on each of the power cables that have compression lugs. 
109,Primary Integration has identified that many RPPv2 on site have deficiencies around phase identification color tape missing or not being visible. 
110,SNMP installation and software update site Dubai Police 
111,STS display is not working. There are lines going thru the screen site Teknica Santiago Chile 
112,3 out of the 4 CT strips that were ordered on 29870 arrived on site loose in a box causing them to rub together and get damaged. This caused the need to order three new CT strips and have them shipped overnight to Ascent. 
113,"SU, configure and commissioning support on busway; Customer purchased load banks that need to be hooked to the TOBs; (22) TOBs and (8) EFs; A51-0284. Site address: Tore Electric-NRG 804 Carnegie Center Princeton, NJ 08540 Contact: Orlando Blanco (732) 597-1836 (c) "
114,No charge order was created to demo Busway to Facebook. Busway installation needed. 
115,Upgrade: Remove 2 225A subfeed circuit breakers from PDu and replace with 1 400A circuit breaker. 
116,"Time: 8AM Scope: To perform SU on (8) PDUs; 110-4431-1-8; SO23669; We will be powering up 2 units per day; One in the morning and one in the afternoon for 4 days Site Address: Public Works 1941 Ogilvie Road Ottawa, ON K1J 1B7 Site Contact: Abe Wall Ph.: (613) 839-0351 ext. 223 "
117,Startup of 11 JCOMMs 
118,STS-C1-4 is having the following alarms: ï	Summary ï	SAS Tx 1 Down 
119,"oversee electrical contractor REDLEC disassemble and reassemble of BusBar A Row 26. I have also been asked to remove and reconnect the BCMS Communication site Digital Realty Unit 1, Power Avenue Napler Way Manor Royal, Crawley UK "
120,customer received shipment and noticed they were missing 48 clips. They only received 32. site OverIP Austrialia 
121,1RPP-06A-3 Eaton Breaker has failed NETA testing and needs to be replaced. 
122,SAS TX 2 Alarm 
123,"Notes from customer not happy with how JCOMM is working Hello, To say that the information and functionality of our new PDIq WaveStar Hub is disappointing is probably generous. The unit itself as installed on the wall is very frustrating to use. The responsiveness of the touchscreen is horrifically slow and non-responsive. Java incompatibility of the GUI, firmware issues between the Jcomm units and the hub, (same with the hub and new overhead busway system in another location), all makes for a very disappointing result for the tens of thousands of dollars spent. The team that monitors the power says it is easier to go to the PDUís themselves that to use the slow GUI interface. There is no charting of power consumption over time. A MIN/MAX circuit load is useful, but over what time period? What resets the min/max values? In a data centre we need to understand the power utilization on circuits and circuit pairs over time as the utilization can vary dramatically over busy and slow periods the day or week. A power spot check may completely miss a heavy utilization spike. Right now we cannot provide the power metrics to leadership that we expected when justifying the investment. I was used to the Liebert SiteScan tool when working at another company and I guess I expected similar results from this tool that claims to be a BCMS. It appears that we now need to export this information (SNMP) to another tool that can provide the granularity of detail. A chance google search showed me that a product called PowerMap existed in 2011. How do we get the product? Your website does not even mention it as an option. Please provide information the PowerMap tool, as that may provide the reporting we are looking for. You will probably be getting a contact from our vendor as our team has a meeting with them later today. "
124,STS - 201 = TSN S1 Alarm STS - 209 = No Time GUI STS - 302 = Tx1 down Alarm STS - 210 = Tx2 Down Alarm 
125,"This is the GE/ABB Urbacon site in Toronto where we shipped 24 PDUs last June. We just completed the addition of the missing 3/0 cable per phase on every breaker in all 24 PDUs, and the customer has done their commissioning. They have an end customer moving into the space in a week, and have now noticed this one PDU is excessively louder than the other 23 units. John just sent this to Kevin for advice, but our resolution will have to be executed next week, to meet their turnover date. If we have someone at East that knows how to quiet these down, we may need them to fly to Canada "
126,Wrong reactor label for voltage and frequency. See Email chain below. 
127,"Parts shipped for GE Urbacon were incomplete. Shipment was missing a variety of Ferrules, Compression Lugs, Hardware, GE Rating Plugs, and C.T.s. Contractor is sourcing ferrules, lugs, wire, locally. PDI to ship rating plugs and C.T.s "
128,From customer: We here at GCC have encountered one of our STS units triggering on ìSAS Tx 2 Downî. The alarm clears automatically but has presented itself multiple times. If you would please advise the CE Engineering team of the impact this alarm may cause on the STS and or the course of action to correct it? 
129,customer claims to be missing numerous breakers from this order. Our paperwork shows we shipped everything. (5) BCB-QOB280 (12) BCB57412 (35) BCB57414 (35) BCB57417 (6) BCB57419 (30) BCB-QOB380 site Union Sistemas Brazil 
130,SAS alarms on 3 STS Also inspect all units while on site site Naval Support Facility Deveselu Romania 
131,"From Customer: I have received the Tapboxes but they are missing the terminal blocks for the neutral and ground connections. According to your description on your Order Acknowledgement and on the Shop drawings that Sean from PDI sent me, it was to be included. I have attached the shop drawings and a picture of the tapbox I just received. How are we going to fix this? I am in a rush to get these installed soon before the equipment goes live. Perhaps the best way to solve this problem, instead of shipping the tapboxes back and forth, is to find out from PDI what 30A 400V terminal blocks they approved to be used according to their shop drawing and rush send them to me so that I can install them myself. We should definitely receive a discount on these tapboxes as they were shipped to me incomplete. "
132,Busway giving false readings 
133,From Jeff Lester: We have identified 52 out of 104 CTís are not reading currents on the end feeds. Thun said these could possibly be from when we received the bad batch of CTís from our vendor. If I move a known good ct over to the location on the board it works. Unfortunately the site is live and we never performed startups or commissioning on them. Customer said that we can possibly schedule a shutdown to replace these depending on availability of the new parts I re-addressed endfeeds and tested communication. We replaced a couple accumulator boards and fixed address conflicts. They currently have a end feed with a bad transformer board as fuses are not blown and it has input voltage but no output. Email and photos attached 
134,Customer reporting that (4) of their PDUs from the DC1 project are showing 0 values where they should be getting values. 
135,"PDU Communication issues From Thun: This site seems to be having multiple issues. The original issues listed most of the PDUís having Comm issues. I have advised Vincent below with some possible solutions. But he is still having issues with the units. These alarms may just need to be cleared on the display. These issues may need to be looked at by a PDI technician to get resolved. The comm issues were cleared before by our technician. He brought up more issues with other units relating to the BCMS boards. I am not sure when these issues started happening. There has since been more issues reported. We are waiting to hear From Keith Waterman who will be on site this week. UPDATE FROM KEITH: Here is what I found: ï	ìDISPLAY Comm. X Errorî on Color Touch monitor (see attached photos). These alarms are for comm error between color touch mon and BCMS (2 boards/PDU). I am still able to read all boards, so the alarm is nuisance only. I cleared all alarms on about 10 PDUs and none came back while I was on site. I was told they return at any time. BCMS boards were recently upgraded with KWH (13.xxx) and color mon software revision is 1.009. John feels that update to Mon software may require update to latest revision to correct. This error is only on the Color and not on the same configuration monochrome Wavestar. We need to resolve quickly!! ï	Commissioning support for 4 days 4/15-19. They are commissioning new product that week and have requested PDI commissioning support the entire time. I have quoted and Roger has promised the PO this weekend. I would like to make sure we have a qualified PDI employee (unfortunately not a 3rd party as this is a very sensitive customer) for the entire week. I know the 19th is a Holiday, so we should be able to get the commissioning done in the 4 days allotted. ï	Relocation of BCMS cards from inside PDU to inside side car for safety/serviceability issues. (Please see attached photo). The BCMS was located above the transformer on the side door area. Two of the units are against the wall and two others are butted together side by side. We are unable to access these boards for serviceability (programming breaker size, calibration or possible replacement upon failure). All around bad place to locate and they need to be moved to the side car for accessibility). I have provided a quote to do this, BUT, Roger, Ajith and I heard complaints from customer about them having to pay to have these relocated as they were sold on a ìFront access onlyî unit. Obviously they are not true front access if we have to service from the side. I spoke with Roger and Ajith regarding sensitivity of the customer and both agree this may affect further business. My suggestion is at minimum, a discounted offering to relocate the BCMSÖif not doing free of charge. I will put this in Richís very capable hands as I know he likes giving away money!!! ï	Door latch will not close completely on side car: FIXEDÖcontractor did not install dead panel correctly and I removed, repaired and door closes fine now. Customer happy! ï	RPP showed only one panel on color touch monÖ.There are two panels. Unit configured for only one downstream device. I corrected in settings and Customer satisfied. "
